date_time,Cl2_out,Cl2_in,CH4_out,CH4_in,time_min,led
2023-06-09 12:15:00,102.234952983859,102.068085190781,51.258817673,51.3002188069992,0,0
2023-06-09 12:17:00,101.489506866506,101.292430996452,51.3988742816667,51.7832263868558,2,0
2023-06-09 12:19:00,101.152648270537,99.8263599123852,51.5299587255,51.884568090495,4,0
2023-06-09 12:21:00,100.624807935909,100.544209515169,51.5314955383333,51.8732131062017,6,0
2023-06-09 12:23:00,100.069549997848,100.105954952746,51.6284999855,51.9720799439683,8,1
2023-06-09 12:25:00,89.7600024805253,100.153900336306,48.4741734805,52.3374813208567,10,1
2023-06-09 12:27:00,65.557639552122,100.135716389026,34.2693318998333,52.4647125988067,12,1
2023-06-09 12:29:00,57.1709701975973,98.8444195595568,27.2124353101667,52.4909171246017,14,1
2023-06-09 12:31:00,54.3679365773002,99.7573133971886,24.8086561841667,52.2207807084833,16,1
2023-06-09 12:33:00,53.22411044892,99.5019017078588,24.1244498878333,52.36039161213,18,1
2023-06-09 12:35:00,52.7496908569605,98.2358877015382,23.7545088776667,52.3150313462875,20,1
2023-06-09 12:37:00,53.592877887813,97.5997107879861,24.2073954883333,52.530703356285,22,1
2023-06-09 12:39:00,67.1015934208756,98.6210489966198,31.2760266311667,52.3551183226283,24,0
2023-06-09 12:41:00,76.7048562442351,97.4578171707739,38.9304475155,52.4200555971633,26,0
2023-06-09 12:43:00,82.7085595724325,97.2197750106951,43.5101057683333,52.3782650726067,28,0
2023-06-09 12:45:00,87.5160703908608,96.471373076488,46.5599085493333,52.4669320117017,30,0
2023-06-09 12:47:00,90.4219391591033,96.948733905706,48.8496948231667,52.376714014975,32,0
2023-06-09 12:49:00,92.512161514359,96.7952848018073,50.2204462051667,52.293238343465,34,0
2023-06-09 12:51:00,93.8150367709658,98.1947445763433,51.0573228831667,52.290803696775,36,0
2023-06-09 12:53:00,94.5446772373965,96.7307861175653,51.5712837208333,52.2038220285808,38,0
2023-06-09 12:55:00,95.1684731433585,96.7965630789741,51.8111042675,52.211040644525,40,0
2023-06-09 12:57:00,95.4422372297385,95.7888458304587,52.0084850946667,52.2734703297508,42,0
2023-06-09 12:59:00,95.5247547359453,96.3094795820084,52.1329505925,52.354731307795,44,0
