aircleaner,flow_dir,compound_name,conc_mean,conc_sd
PureAir2000,In,Limonene,236.140833083333,180.664168751956
PureAir2000,Out,Limonene,130.510286125,103.007851011876
NoSmell4.2,In,Limonene,136.359756153846,162.623851511991
NoSmell4.2,Out,Limonene,7.63928296612903,10.4311044300635
PureAir2000,In,Acetaldehyde,449.924469166667,98.9983687882204
PureAir2000,Out,Acetaldehyde,454.567071875,90.4669888139664
NoSmell4.2,In,Acetaldehyde,422.528957051282,101.064376415573
NoSmell4.2,Out,Acetaldehyde,400.491769354839,67.3288365732629
PureAir2000,In,Acetic acid,129.285799458333,54.8029157367627
PureAir2000,Out,Acetic acid,99.8077359166667,29.4204022117768
NoSmell4.2,In,Acetic acid,103.180418910256,79.9668996495163
NoSmell4.2,Out,Acetic acid,30.3112699354839,19.543211388398
PureAir2000,In,Acetone,693.2955675,176.724780871402
PureAir2000,Out,Acetone,679.441256875,140.144185261263
NoSmell4.2,In,Acetone,328.435626282051,307.730373780067
NoSmell4.2,Out,Acetone,124.188223451613,14.4597539087617
PureAir2000,In,Butanone,510.982916041667,195.353095382841
PureAir2000,Out,Butanone,447.162990625,110.64610774936
NoSmell4.2,In,Butanone,230.31720974359,308.215928330203
NoSmell4.2,Out,Butanone,14.8371430709677,11.5948482737292
PureAir2000,In,Isoprene,273.931100625,81.7245398262718
PureAir2000,Out,Isoprene,262.720859166667,67.4949867422297
NoSmell4.2,In,Isoprene,110.604514439102,149.514732313946
NoSmell4.2,Out,Isoprene,9.56946429032258,5.49360533356003
PureAir2000,In,Benzaldehyde,272.506462083333,170.12130518017
PureAir2000,Out,Benzaldehyde,149.062778416667,92.5952400803993
NoSmell4.2,In,Benzaldehyde,214.215377371795,200.471035598148
NoSmell4.2,Out,Benzaldehyde,16.8165550387097,20.7154265464464
PureAir2000,In,Toluene,213.520651770833,136.016226001665
PureAir2000,Out,Toluene,140.190739625,74.1422209827339
NoSmell4.2,In,Toluene,123.564930647436,163.690327631062
NoSmell4.2,Out,Toluene,5.49919126354839,8.58782524784511
PureAir2000,In,Methanol,664.936043958333,162.540508359213
PureAir2000,Out,Methanol,663.641502083334,159.93480321841
NoSmell4.2,In,Methanol,269.55307051282,55.7975483674767
NoSmell4.2,Out,Methanol,261.641510322581,43.0557818185798
